algoritmo,tamaño,tiempo_s
HeapSort,562,0.00014481600010185502
BinaryInsertionSort,562,0.00017477400024290546
BucketSort,562,0.00017593200027476996
RadixSort,562,0.0004869069998676423
QuickSort,562,0.0007095699997989868
CombSort,562,0.0007446770000569813
TimSort,562,0.0008048940003391181
TreeSort,562,0.0010354040000493114
SelectionSort,562,0.006767389000287949
BitonicSort,562,0.006783458999962022
GnomeSort,562,0.035369319999972504
PigeonholeSort,562,0.07242010900017704
