metodo,cophenetic_correlation,k_mejor,silhouette_mejor
single,0.9095069379239455,2.0,0.011454365855649963
complete,0.9819123866361901,,
average,0.9870350594864714,8.0,0.14002490180594288
ward,0.204699477938767,8.0,0.20093550088470893
